TimeStep,VehicleID,Position,Speed,Brake,Alert
0,0,10,10,False,False
0,1,25,10,False,False
0,2,40,10,False,False
0,3,55,10,False,False
0,4,70,10,False,False
1,0,20,10,False,False
1,1,35,10,False,False
1,2,50,10,False,False
1,3,65,10,False,False
1,4,80,10,False,False
2,0,30,10,False,False
2,1,45,10,False,False
2,2,60,10,False,False
2,3,75,10,False,False
2,4,90,10,False,False
3,0,40,10,False,False
3,1,55,10,False,False
3,2,70,10,False,False
3,3,85,10,False,False
3,4,100,10,False,False
4,0,50,10,False,False
4,1,65,10,False,False
4,2,80,10,False,False
4,3,95,10,False,False
4,4,110,10,False,False
5,0,60,10,False,False
5,1,75,10,False,False
5,2,90,10,False,False
5,3,105,10,False,False
5,4,120,10,False,False
6,0,70,10,False,False
6,1,85,10,False,False
6,2,100,10,False,False
6,3,115,10,False,False
6,4,130,10,False,False
7,0,80,10,False,False
7,1,95,10,False,False
7,2,110,10,False,False
7,3,125,10,False,False
7,4,140,10,False,False
8,0,90,10,False,False
8,1,105,10,False,False
8,2,120,10,False,False
8,3,135,10,False,False
8,4,150,10,False,False
9,0,100,10,False,False
9,1,115,10,False,False
9,2,130,10,False,False
9,3,145,10,False,False
9,4,160,10,False,False
10,0,110,10,False,False
10,1,125,10,True,True
10,2,130,10,True,False
10,3,155,10,False,False
10,4,170,10,False,False
11,0,120,10,True,True
11,1,125,10,True,True
11,2,130,10,True,False
11,3,165,10,False,False
11,4,180,10,False,False
12,0,120,10,True,True
12,1,125,10,True,True
12,2,130,10,True,False
12,3,175,10,False,False
12,4,190,10,False,False
13,0,120,10,True,True
13,1,125,10,True,True
13,2,130,10,True,False
13,3,185,10,False,False
13,4,200,10,False,False
14,0,120,10,True,True
14,1,125,10,True,True
14,2,130,10,True,False
14,3,195,10,False,False
14,4,210,10,False,False
15,0,120,10,True,True
15,1,125,10,True,True
15,2,130,10,True,False
15,3,205,10,False,False
15,4,220,10,False,False
16,0,120,10,True,True
16,1,125,10,True,True
16,2,130,10,True,False
16,3,215,10,False,False
16,4,230,10,False,False
17,0,120,10,True,True
17,1,125,10,True,True
17,2,130,10,True,False
17,3,225,10,False,False
17,4,240,10,False,False
18,0,120,10,True,True
18,1,125,10,True,True
18,2,130,10,True,False
18,3,235,10,False,False
18,4,250,10,False,False
19,0,120,10,True,True
19,1,125,10,True,True
19,2,130,10,True,False
19,3,245,10,False,False
19,4,260,10,False,False
20,0,120,10,True,True
20,1,125,10,True,True
20,2,130,10,True,False
20,3,255,10,False,False
20,4,270,10,False,False
21,0,120,10,True,True
21,1,125,10,True,True
21,2,130,10,True,False
21,3,265,10,False,False
21,4,280,10,False,False
22,0,120,10,True,True
22,1,125,10,True,True
22,2,130,10,True,False
22,3,275,10,False,False
22,4,290,10,False,False
23,0,120,10,True,True
23,1,125,10,True,True
23,2,130,10,True,False
23,3,285,10,False,False
23,4,300,10,False,False
24,0,120,10,True,True
24,1,125,10,True,True
24,2,130,10,True,False
24,3,295,10,False,False
24,4,310,10,False,False
25,0,120,10,True,True
25,1,125,10,True,True
25,2,130,10,True,False
25,3,305,10,False,False
25,4,320,10,False,False
26,0,120,10,True,True
26,1,125,10,True,True
26,2,130,10,True,False
26,3,315,10,False,False
26,4,330,10,False,False
27,0,120,10,True,True
27,1,125,10,True,True
27,2,130,10,True,False
27,3,325,10,False,False
27,4,340,10,False,False
28,0,120,10,True,True
28,1,125,10,True,True
28,2,130,10,True,False
28,3,335,10,False,False
28,4,350,10,False,False
29,0,120,10,True,True
29,1,125,10,True,True
29,2,130,10,True,False
29,3,345,10,False,False
29,4,360,10,False,False
